symbol,sign,prior,open,high,low,last,change,percentChange,totalVolume,marketCap,industryName,sectorName
EE,,0.61,0.62,0.64,0.61,0.62,0.01,1.639344262295082,13402800.0,1695800000.0,AGRO,AGRI
GFPT,,12.9,12.9,13.0,12.8,12.8,-0.1,-0.7751937984496124,2201202.0,16174290900.0,AGRO,AGRI
LEE,,2.36,2.36,2.4,2.36,2.4,0.04,1.694915254237288,70600.0,2176345392.36,AGRO,AGRI
MAX,"SP, NP, NC",0.01,,,,,,,,,AGRO,AGRI
NER,,6.35,6.35,6.45,6.3,6.35,0.0,0.0,7012573.0,11733464899.8,AGRO,AGRI
PPPM,"C, NP",0.13,0.13,0.13,0.12,0.12,-0.01,-7.6923076923076925,619500.0,1377231856.13,AGRO,AGRI
STA,,21.2,21.3,21.6,20.8,21.1,-0.1,-0.4716981132075472,6986609.0,32563199957.6,AGRO,AGRI
TEGH,,4.84,4.84,4.86,4.64,4.74,-0.1,-2.0661157024793386,29015156.0,5227200000.0,AGRO,AGRI
TFM,,9.8,9.85,10.0,9.8,9.9,0.1,1.0204081632653061,514356.0,4900000000.0,AGRO,AGRI
TRUBB,,1.89,1.9,1.9,1.87,1.88,-0.01,-0.5291005291005291,1242637.0,1545595931.25,AGRO,AGRI
TWPC,,5.15,5.15,5.2,5.15,5.2,0.05,0.970873786407767,53800.0,4534167789.5,AGRO,AGRI
UPOIC,,6.45,6.5,6.6,6.4,6.6,0.15,2.3255813953488373,40020.0,2090122500.0,AGRO,AGRI
UVAN,,7.75,7.75,7.8,7.7,7.75,0.0,0.0,218880.0,7285000000.0,AGRO,AGRI
VPO,,1.2,1.2,1.23,1.2,1.2,0.0,0.0,392710.0,1128000000.0,AGRO,AGRI
AAI,,6.9,6.85,7.0,6.85,6.9,0.0,0.0,6019393.0,14662500000.0,AGRO,FOOD
APURE,,4.96,4.96,5.1,4.94,5.1,0.14,2.8225806451612905,909901.0,4753055819.68,AGRO,FOOD
ASIAN,,13.4,13.4,13.8,13.3,13.7,0.3,2.2388059701492535,4391667.0,10908773290.6,AGRO,FOOD
